route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
149554,25690372,25690372,,,,149554
149554,25690455,25690455,,,,149554
149554,25690458,25690458,,,,149554
149554,25690536,25690536,,,,149554
149554,25688557,25688557,,,,149554
149554,25689217,25689217,,,,149554
149554,25690452,25690452,,,,149554
149554,25690449,25690449,,,,149554
149554,25689257,25689257,,,,149554
149554,25689237,25689237,,,,149554
149554,25688407,25688407,,,,149554
149554,25688412,25688412,,,,149554
149554,25689277,25689277,,,,149554
149554,25689177,25689177,,,,149554
149554,25689197,25689197,,,,149554
149554,25689977,25689977,,,,149554
149554,25689997,25689997,,,,149554
149554,25690446,25690446,,,,149554
149554,25690461,25690461,,,,149554
149554,25690539,25690539,,,,149554
149554,25690373,25690373,,,,149554
149554,25688417,25688417,,,,149554
149554,25689317,25689317,,,,149554
149554,25690494,25690494,,,,149554
149554,25690407,25690407,,,,149554
149554,25690371,25690371,,,,149554
149554,25690374,25690374,,,,149554
149554,25690470,25690470,,,,149554
149554,25690476,25690476,,,,149554
149554,25688422,25688422,,,,149554
149554,25690375,25690375,,,,149554
149554,25688532,25688532,,,,149554
149554,25689337,25689337,,,,149554
149554,25689377,25689377,,,,149554
149554,25689417,25689417,,,,149554
149554,25689297,25689297,,,,149554
149554,25690391,25690391,,,,149554
149554,25690393,25690393,,,,149554
149554,25689937,25689937,,,,149554
149554,25690464,25690464,,,,149554
149554,25690506,25690506,,,,149554
149554,25688512,25688512,,,,149554
149554,25688522,25688522,,,,149554
149554,25688502,25688502,,,,149554
149554,25688427,25688427,,,,149554
149554,25688477,25688477,,,,149554
149554,25688492,25688492,,,,149554
149554,25690376,25690376,,,,149554
149554,25690467,25690467,,,,149554
149554,25689457,25689457,,,,149554
149554,25689637,25689637,,,,149554
149554,25689657,25689657,,,,149554
149554,25690479,25690479,,,,149554
149554,25690497,25690497,,,,149554
149554,25689357,25689357,,,,149554
149554,25689857,25689857,,,,149554
149554,25690509,25690509,,,,149554
149554,25690399,25690399,,,,149554
149554,25690377,25690377,,,,149554
149554,25688527,25688527,,,,149554
149554,25688432,25688432,,,,149554
149554,25688442,25688442,,,,149554
149554,25688457,25688457,,,,149554
149554,25688467,25688467,,,,149554
149554,25689397,25689397,,,,149554
149554,25689437,25689437,,,,149554
149554,25689517,25689517,,,,149554
149554,25689697,25689697,,,,149554
149554,25689677,25689677,,,,149554
149554,25689617,25689617,,,,149554
149554,25690378,25690378,,,,149554
149554,25690500,25690500,,,,149554
149554,25688437,25688437,,,,149554
149554,25690383,25690383,,,,149554
149554,25690379,25690379,,,,149554
149554,25690473,25690473,,,,149554
149554,25690380,25690380,,,,149554
149554,25690482,25690482,,,,149554
149554,25690491,25690491,,,,149554
149554,25688447,25688447,,,,149554
149554,25689497,25689497,,,,149554
149554,25690381,25690381,,,,149554
149554,25689477,25689477,,,,149554
149554,25689557,25689557,,,,149554
149554,25688452,25688452,,,,149554
149554,25688462,25688462,,,,149554
149554,25690382,25690382,,,,149554
149554,25690485,25690485,,,,149554
149554,25690384,25690384,,,,149554
149554,25689537,25689537,,,,149554
149554,25690488,25690488,,,,149554
149554,25690385,25690385,,,,149554
149554,25690394,25690394,,,,149554
149554,25690386,25690386,,,,149554
149554,25689577,25689577,,,,149554
149554,25689597,25689597,,,,149554
149554,25688472,25688472,,,,149554
149554,25689757,25689757,,,,149554
149554,25689777,25689777,,,,149554
149554,25690387,25690387,,,,149554
149554,25690396,25690396,,,,149554
149554,25690533,25690533,,,,149554
149554,25690397,25690397,,,,149554
149554,25690388,25690388,,,,149554
149554,25688482,25688482,,,,149554
149554,25690389,25690389,,,,149554
149554,25688487,25688487,,,,149554
149554,25690390,25690390,,,,149554
149554,25688497,25688497,,,,149554
149554,25690503,25690503,,,,149554
149554,25688507,25688507,,,,149554
149554,25690392,25690392,,,,149554
149554,25689717,25689717,,,,149554
149554,25689737,25689737,,,,149554
149554,25690395,25690395,,,,149554
149554,25690401,25690401,,,,149554
149554,25690527,25690527,,,,149554
149554,25689797,25689797,,,,149554
149554,25689837,25689837,,,,149554
149554,25690518,25690518,,,,149554
149554,25690512,25690512,,,,149554
149554,25689817,25689817,,,,149554
149554,25690515,25690515,,,,149554
149554,25688517,25688517,,,,149554
149554,25689877,25689877,,,,149554
149554,25690398,25690398,,,,149554
149554,25689917,25689917,,,,149554
149554,25689957,25689957,,,,149554
149554,25690521,25690521,,,,149554
149554,25690524,25690524,,,,149554
149554,25690400,25690400,,,,149554
149554,25690530,25690530,,,,149554
149554,25689897,25689897,,,,149554
149554,25688537,25688537,,,,149554
149554,25688552,25688552,,,,149554
149554,25688542,25688542,,,,149554
149554,25690402,25690402,,,,149554
149554,25688547,25688547,,,,149554
149554,25690403,25690403,,,,149554
149554,25690404,25690404,,,,149554
149554,25690405,25690405,,,,149554
149554,25690408,25690408,,,,149554
149554,25690406,25690406,,,,149554
149554,25690017,25690017,,,,149554
149554,25688562,25688562,,,,149554
149554,25688567,25688567,,,,149554
149554,25688402,25688402,,,,149554
149554,25690542,25690542,,,,149554
149554,25688572,25688572,,,,149554
160134,25592291,25592291,,,,160134
160134,25592331,25592331,,,,160134
160134,25592351,25592351,,,,160134
160134,25592371,25592371,,,,160134
160134,25592391,25592391,,,,160134
160134,25592431,25592431,,,,160134
160134,25592311,25592311,,,,160134
160134,25592411,25592411,,,,160134
160134,25592451,25592451,,,,160134
160134,25592491,25592491,,,,160134
160134,25592471,25592471,,,,160134
160134,25592531,25592531,,,,160134
160134,25592551,25592551,,,,160134
160134,25592851,25592851,,,,160134
160134,25592571,25592571,,,,160134
160134,25592611,25592611,,,,160134
160134,25592511,25592511,,,,160134
160134,25592671,25592671,,,,160134
160134,25592591,25592591,,,,160134
160134,25592631,25592631,,,,160134
160134,25592691,25592691,,,,160134
160134,25592711,25592711,,,,160134
160134,25592731,25592731,,,,160134
160134,25592651,25592651,,,,160134
160134,25592771,25592771,,,,160134
160134,25592791,25592791,,,,160134
160134,25592811,25592811,,,,160134
160134,25592831,25592831,,,,160134
160134,25592751,25592751,,,,160134
160134,25592871,25592871,,,,160134
160134,25592891,25592891,,,,160134
160134,25592911,25592911,,,,160134
160165,25782361,25782361,,,,160165
160165,25782363,25782363,,,,160165
160165,25781520,25781520,,,,160165
160165,25781580,25781580,,,,160165
160165,25781655,25781655,,,,160165
160165,25781661,25781661,,,,160165
160165,25781754,25781754,,,,160165
160165,25781764,25781764,,,,160165
160165,25781080,25781080,,,,160165
160165,25782339,25782339,,,,160165
160165,25782342,25782342,,,,160165
160165,25782351,25782351,,,,160165
160165,25782355,25782355,,,,160165
160165,25782357,25782357,,,,160165
160165,25781100,25781100,,,,160165
160165,25781140,25781140,,,,160165
160165,25781060,25781060,,,,160165
160165,25781634,25781634,,,,160165
160165,25781640,25781640,,,,160165
160165,25781649,25781649,,,,160165
160165,25781598,25781598,,,,160165
160165,25781592,25781592,,,,160165
160165,25781613,25781613,,,,160165
160165,25781625,25781625,,,,160165
160165,25781679,25781679,,,,160165
160165,25782359,25782359,,,,160165
160165,25781669,25781669,,,,160165
160165,25782360,25782360,,,,160165
160165,25782358,25782358,,,,160165
160165,25782362,25782362,,,,160165
160165,25782356,25782356,,,,160165
160165,25782353,25782353,,,,160165
160165,25782344,25782344,,,,160165
160165,25782346,25782346,,,,160165
160165,25782341,25782341,,,,160165
160165,25781500,25781500,,,,160165
160165,25781420,25781420,,,,160165
160165,25781540,25781540,,,,160165
160165,25781560,25781560,,,,160165
160165,25781460,25781460,,,,160165
160165,25781652,25781652,,,,160165
160165,25781643,25781643,,,,160165
160165,25781658,25781658,,,,160165
160165,25781586,25781586,,,,160165
160165,25781664,25781664,,,,160165
160165,25781674,25781674,,,,160165
160165,25781684,25781684,,,,160165
160165,25781739,25781739,,,,160165
160165,25781749,25781749,,,,160165
160165,25781694,25781694,,,,160165
160165,25781704,25781704,,,,160165
160165,25781714,25781714,,,,160165
160165,25781729,25781729,,,,160165
160165,25782347,25782347,,,,160165
160165,25782343,25782343,,,,160165
160165,25782340,25782340,,,,160165
160165,25782354,25782354,,,,160165
160165,25781480,25781480,,,,160165
160165,25781440,25781440,,,,160165
160165,25781400,25781400,,,,160165
160165,25781240,25781240,,,,160165
160165,25781280,25781280,,,,160165
160165,25781320,25781320,,,,160165
160165,25781360,25781360,,,,160165
160165,25781160,25781160,,,,160165
160165,25781200,25781200,,,,160165
160165,25781646,25781646,,,,160165
160165,25781601,25781601,,,,160165
160165,25781619,25781619,,,,160165
160165,25782349,25782349,,,,160165
160165,25781616,25781616,,,,160165
160165,25781595,25781595,,,,160165
160165,25781604,25781604,,,,160165
160165,25781631,25781631,,,,160165
160165,25781734,25781734,,,,160165
160165,25782350,25782350,,,,160165
160165,25782345,25782345,,,,160165
160165,25781220,25781220,,,,160165
160165,25781180,25781180,,,,160165
160165,25781120,25781120,,,,160165
160165,25781380,25781380,,,,160165
160165,25781340,25781340,,,,160165
160165,25781300,25781300,,,,160165
160165,25781260,25781260,,,,160165
160165,25781637,25781637,,,,160165
160165,25781607,25781607,,,,160165
160165,25781589,25781589,,,,160165
160165,25781622,25781622,,,,160165
160165,25781628,25781628,,,,160165
160165,25782348,25782348,,,,160165
160165,25782352,25782352,,,,160165
160165,25781583,25781583,,,,160165
160165,25781689,25781689,,,,160165
160165,25781709,25781709,,,,160165
160165,25781699,25781699,,,,160165
160165,25781724,25781724,,,,160165
160165,25782338,25782338,,,,160165
160165,25781610,25781610,,,,160165
160165,25781759,25781759,,,,160165
160165,25781719,25781719,,,,160165
160165,25781744,25781744,,,,160165
160166,25630698,25630698,,,,160166
160166,25630738,25630738,,,,160166
160166,25631438,25631438,,,,160166
160166,25631449,25631449,,,,160166
160166,25630718,25630718,,,,160166
160166,25630638,25630638,,,,160166
160166,25630678,25630678,,,,160166
160166,25630558,25630558,,,,160166
160166,25630598,25630598,,,,160166
160166,25630418,25630418,,,,160166
160166,25630438,25630438,,,,160166
160166,25630478,25630478,,,,160166
160166,25630761,25630761,,,,160166
160166,25630773,25630773,,,,160166
160166,25630782,25630782,,,,160166
160166,25630791,25630791,,,,160166
160166,25630797,25630797,,,,160166
160166,25630803,25630803,,,,160166
160166,25630809,25630809,,,,160166
160166,25630815,25630815,,,,160166
160166,25630821,25630821,,,,160166
160166,25630831,25630831,,,,160166
160166,25630846,25630846,,,,160166
160166,25630856,25630856,,,,160166
160166,25630866,25630866,,,,160166
160166,25630876,25630876,,,,160166
160166,25630896,25630896,,,,160166
160166,25631450,25631450,,,,160166
160166,25631446,25631446,,,,160166
160166,25631452,25631452,,,,160166
160166,25630398,25630398,,,,160166
160166,25630758,25630758,,,,160166
160166,25630906,25630906,,,,160166
160166,25630911,25630911,,,,160166
160166,25630886,25630886,,,,160166
160166,25631433,25631433,,,,160166
160166,25631443,25631443,,,,160166
160166,25631430,25631430,,,,160166
160166,25630538,25630538,,,,160166
160166,25630658,25630658,,,,160166
160166,25630618,25630618,,,,160166
160166,25630578,25630578,,,,160166
160166,25630498,25630498,,,,160166
160166,25630458,25630458,,,,160166
160166,25630788,25630788,,,,160166
160166,25630776,25630776,,,,160166
160166,25630764,25630764,,,,160166
160166,25630836,25630836,,,,160166
160166,25631429,25631429,,,,160166
160166,25631431,25631431,,,,160166
160166,25631434,25631434,,,,160166
160166,25630826,25630826,,,,160166
160166,25631435,25631435,,,,160166
160166,25631432,25631432,,,,160166
160166,25631440,25631440,,,,160166
160166,25631442,25631442,,,,160166
160166,25631445,25631445,,,,160166
160166,25631451,25631451,,,,160166
160166,25631448,25631448,,,,160166
160166,25630518,25630518,,,,160166
160166,25630818,25630818,,,,160166
160166,25630767,25630767,,,,160166
160166,25630770,25630770,,,,160166
160166,25630779,25630779,,,,160166
160166,25630812,25630812,,,,160166
160166,25630806,25630806,,,,160166
160166,25630800,25630800,,,,160166
160166,25630794,25630794,,,,160166
160166,25630841,25630841,,,,160166
160166,25630851,25630851,,,,160166
160166,25630891,25630891,,,,160166
160166,25630881,25630881,,,,160166
160166,25630871,25630871,,,,160166
160166,25630861,25630861,,,,160166
160166,25630901,25630901,,,,160166
160166,25631447,25631447,,,,160166
160166,25631444,25631444,,,,160166
160166,25631439,25631439,,,,160166
160166,25631437,25631437,,,,160166
160166,25630785,25630785,,,,160166
160166,25631441,25631441,,,,160166
160166,25631436,25631436,,,,160166
160179,25696005,25696005,,,,160179
160179,25696006,25696006,,,,160179
160179,25696007,25696007,,,,160179
160179,25696008,25696008,,,,160179
160179,25696009,25696009,,,,160179
160179,25694702,25694702,,,,160179
160179,25695262,25695262,,,,160179
160179,25695302,25695302,,,,160179
160179,25695305,25695305,,,,160179
160179,25695308,25695308,,,,160179
160179,25695311,25695311,,,,160179
160179,25695314,25695314,,,,160179
160179,25695317,25695317,,,,160179
160179,25695322,25695322,,,,160179
160179,25695327,25695327,,,,160179
160179,25695332,25695332,,,,160179
160179,25695337,25695337,,,,160179
160179,25694722,25694722,,,,160179
160179,25694742,25694742,,,,160179
160179,25694762,25694762,,,,160179
160179,25695242,25695242,,,,160179
160179,25694802,25694802,,,,160179
160179,25694822,25694822,,,,160179
160179,25695202,25695202,,,,160179
160179,25694942,25694942,,,,160179
160179,25695002,25695002,,,,160179
160179,25694882,25694882,,,,160179
160179,25695022,25695022,,,,160179
160179,25694962,25694962,,,,160179
160179,25695122,25695122,,,,160179
160179,25695162,25695162,,,,160179
160179,25695182,25695182,,,,160179
160179,25695062,25695062,,,,160179
160179,25695082,25695082,,,,160179
160179,25694982,25694982,,,,160179
160179,25694842,25694842,,,,160179
160179,25694782,25694782,,,,160179
160179,25694862,25694862,,,,160179
160179,25694902,25694902,,,,160179
160179,25694922,25694922,,,,160179
160179,25695042,25695042,,,,160179
160179,25695142,25695142,,,,160179
160179,25695222,25695222,,,,160179
160179,25695102,25695102,,,,160179
160179,25695282,25695282,,,,160179
160180,25547432,25547432,,,,160180
160180,25547433,25547433,,,,160180
160180,25547434,25547434,,,,160180
160180,25547435,25547435,,,,160180
160180,25547436,25547436,,,,160180
160180,25546736,25546736,,,,160180
160180,25546739,25546739,,,,160180
160180,25546742,25546742,,,,160180
160180,25546745,25546745,,,,160180
160180,25546748,25546748,,,,160180
160180,25546751,25546751,,,,160180
160180,25546756,25546756,,,,160180
160180,25546761,25546761,,,,160180
160180,25546766,25546766,,,,160180
160180,25546771,25546771,,,,160180
160180,25546196,25546196,,,,160180
160180,25546176,25546176,,,,160180
160180,25546276,25546276,,,,160180
160180,25546216,25546216,,,,160180
160180,25546696,25546696,,,,160180
160180,25546716,25546716,,,,160180
160180,25546236,25546236,,,,160180
160180,25546256,25546256,,,,160180
160180,25546296,25546296,,,,160180
160180,25546316,25546316,,,,160180
160180,25546336,25546336,,,,160180
160180,25546356,25546356,,,,160180
160180,25546376,25546376,,,,160180
160180,25546396,25546396,,,,160180
160180,25546556,25546556,,,,160180
160180,25546496,25546496,,,,160180
160180,25546516,25546516,,,,160180
160180,25546636,25546636,,,,160180
160180,25546476,25546476,,,,160180
160180,25546416,25546416,,,,160180
160180,25546436,25546436,,,,160180
160180,25546456,25546456,,,,160180
160180,25546536,25546536,,,,160180
160180,25546616,25546616,,,,160180
160180,25546596,25546596,,,,160180
160180,25546576,25546576,,,,160180
160180,25546656,25546656,,,,160180
160180,25546676,25546676,,,,160180
160185,25554053,25554053,,,,160185
160185,25554054,25554054,,,,160185
160185,25554055,25554055,,,,160185
160185,25554056,25554056,,,,160185
160185,25554057,25554057,,,,160185
160185,25554059,25554059,,,,160185
160185,25554062,25554062,,,,160185
160185,25553188,25553188,,,,160185
