service_id,date,exception_type
25690372,20191201,1
25690372,20191208,1
25690372,20200216,1
25690372,20201101,1
25690372,20201005,1
25690372,20201201,1
25690372,20201208,1
25690372,20191225,1
25690372,20200101,1
25690372,20200603,1
25690372,20200610,1
25690372,20200402,1
25690372,20191101,1
25690372,20200501,1
25690372,20201225,1
25688557,20191005,1
25688557,20200404,1
25688407,20191005,1
25688407,20200404,1
25688412,20191005,1
25688412,20200404,1
25690373,20191201,1
25690373,20191208,1
25690373,20200216,1
25690373,20201101,1
25690373,20201005,1
25690373,20201201,1
25690373,20201208,1
25690373,20191225,1
25690373,20200101,1
25690373,20200603,1
25690373,20200610,1
25690373,20200402,1
25690373,20191101,1
25690373,20200501,1
25690373,20201225,1
25688417,20191005,1
25688417,20200404,1
25690407,20191201,1
25690407,20191208,1
25690407,20200216,1
25690407,20201101,1
25690407,20201005,1
25690407,20201201,1
25690407,20201208,1
25690407,20191225,1
25690407,20200101,1
25690407,20200603,1
25690407,20200610,1
25690407,20200402,1
25690407,20191101,1
25690407,20200501,1
25690407,20201225,1
25690371,20191201,1
25690371,20191208,1
25690371,20200216,1
25690371,20201101,1
25690371,20201005,1
25690371,20201201,1
25690371,20201208,1
25690371,20191225,1
25690371,20200101,1
25690371,20200603,1
25690371,20200610,1
25690371,20200402,1
25690371,20191101,1
25690371,20200501,1
25690371,20201225,1
25690374,20191201,1
25690374,20191208,1
25690374,20200216,1
25690374,20201101,1
25690374,20201005,1
25690374,20201201,1
25690374,20201208,1
25690374,20191225,1
25690374,20200101,1
25690374,20200603,1
25690374,20200610,1
25690374,20200402,1
25690374,20191101,1
25690374,20200501,1
25690374,20201225,1
25688422,20191005,1
25688422,20200404,1
25690375,20191201,1
25690375,20191208,1
25690375,20200216,1
25690375,20201101,1
25690375,20201005,1
25690375,20201201,1
25690375,20201208,1
25690375,20191225,1
25690375,20200101,1
25690375,20200603,1
25690375,20200610,1
25690375,20200402,1
25690375,20191101,1
25690375,20200501,1
25690375,20201225,1
25688532,20191005,1
25688532,20200404,1
25690391,20191201,1
25690391,20191208,1
25690391,20200216,1
25690391,20201101,1
25690391,20201005,1
25690391,20201201,1
25690391,20201208,1
25690391,20191225,1
25690391,20200101,1
25690391,20200603,1
25690391,20200610,1
25690391,20200402,1
25690391,20191101,1
