service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25816292,1,1,1,1,1,0,0,20190916,20290916
25816294,1,1,1,1,1,0,0,20190916,20290916
25816296,1,1,1,1,1,0,0,20190916,20290916
25816298,1,1,1,1,1,0,0,20190916,20290916
25816300,1,1,1,1,1,0,0,20190916,20290916
25816302,1,1,1,1,1,0,0,20190916,20290916
25816304,1,1,1,1,1,0,0,20190916,20290916
25816306,1,1,1,1,1,0,0,20190916,20290916
25816308,1,1,1,1,1,0,0,20190916,20290916
25816310,0,0,0,0,0,1,0,20190916,20290916
25816312,0,0,0,0,0,1,0,20190916,20290916
25816314,0,0,0,0,0,0,1,20190916,20290916
25816316,0,0,0,0,0,0,1,20190916,20290916
25816309,1,1,1,1,1,0,0,20190916,20290916
25816307,1,1,1,1,1,0,0,20190916,20290916
25816305,1,1,1,1,1,0,0,20190916,20290916
25816303,1,1,1,1,1,0,0,20190916,20290916
25816301,1,1,1,1,1,0,0,20190916,20290916
25816299,1,1,1,1,1,0,0,20190916,20290916
25816297,1,1,1,1,1,0,0,20190916,20290916
25816295,1,1,1,1,1,0,0,20190916,20290916
25816293,1,1,1,1,1,0,0,20190916,20290916
25816311,0,0,0,0,0,1,0,20190916,20290916
25816313,0,0,0,0,0,1,0,20190916,20290916
25816315,0,0,0,0,0,0,1,20190916,20290916
25816317,0,0,0,0,0,0,1,20190916,20290916
25816252,1,1,1,1,1,0,0,20190916,20290916
25816254,1,1,1,1,1,0,0,20190916,20290916
25816256,1,1,1,1,1,0,0,20190916,20290916
25816258,1,1,1,1,1,0,0,20190916,20290916
25816260,1,1,1,1,1,0,0,20190916,20290916
25816262,1,1,1,1,1,0,0,20190916,20290916
25816264,1,1,1,1,1,0,0,20190916,20290916
25816266,1,1,1,1,1,0,0,20190916,20290916
25816268,1,1,1,1,1,0,0,20190916,20290916
25816270,1,1,1,1,1,0,0,20190916,20290916
25816272,1,1,1,1,1,0,0,20190916,20290916
25816274,1,1,1,1,1,0,0,20190916,20290916
25816276,0,0,0,0,0,1,0,20190916,20290916
25816278,0,0,0,0,0,1,0,20190916,20290916
25816280,0,0,0,0,0,1,0,20190916,20290916
25816282,0,0,0,0,0,1,0,20190916,20290916
25816284,0,0,0,0,0,0,1,20190916,20290916
25816286,0,0,0,0,0,0,1,20190916,20290916
25816288,0,0,0,0,0,0,1,20190916,20290916
25816290,0,0,0,0,0,0,1,20190916,20290916
25816275,1,1,1,1,1,0,0,20190916,20290916
25816273,1,1,1,1,1,0,0,20190916,20290916
25816271,1,1,1,1,1,0,0,20190916,20290916
25816269,1,1,1,1,1,0,0,20190916,20290916
25816267,1,1,1,1,1,0,0,20190916,20290916
25816265,1,1,1,1,1,0,0,20190916,20290916
25816263,1,1,1,1,1,0,0,20190916,20290916
25816261,1,1,1,1,1,0,0,20190916,20290916
25816259,1,1,1,1,1,0,0,20190916,20290916
25816257,1,1,1,1,1,0,0,20190916,20290916
25816255,1,1,1,1,1,0,0,20190916,20290916
25816253,1,1,1,1,1,0,0,20190916,20290916
25816283,0,0,0,0,0,1,0,20190916,20290916
25816281,0,0,0,0,0,1,0,20190916,20290916
25816279,0,0,0,0,0,1,0,20190916,20290916
25816277,0,0,0,0,0,1,0,20190916,20290916
25816291,0,0,0,0,0,0,1,20190916,20290916
25816289,0,0,0,0,0,0,1,20190916,20290916
25816287,0,0,0,0,0,0,1,20190916,20290916
25816285,0,0,0,0,0,0,1,20190916,20290916
25816354,1,1,1,1,1,0,0,20190916,20290916
25816356,1,1,1,1,1,0,0,20190916,20290916
25816358,1,1,1,1,1,0,0,20190916,20290916
25816360,1,1,1,1,1,0,0,20190916,20290916
25816362,1,1,1,1,1,0,0,20190916,20290916
25816364,1,1,1,1,1,0,0,20190916,20290916
25816366,1,1,1,1,1,0,0,20190916,20290916
25816368,0,0,0,0,0,1,0,20190916,20290916
25816370,0,0,0,0,0,1,0,20190916,20290916
25816372,0,0,0,0,0,1,0,20190916,20290916
25816374,0,0,0,0,0,1,0,20190916,20290916
25816376,0,0,0,0,0,0,1,20190916,20290916
25816378,0,0,0,0,0,0,1,20190916,20290916
25816380,0,0,0,0,0,0,1,20190916,20290916
25816382,0,0,0,0,0,0,1,20190916,20290916
25816367,1,1,1,1,1,0,0,20190916,20290916
25816365,1,1,1,1,1,0,0,20190916,20290916
25816363,1,1,1,1,1,0,0,20190916,20290916
25816361,1,1,1,1,1,0,0,20190916,20290916
25816359,1,1,1,1,1,0,0,20190916,20290916
25816357,1,1,1,1,1,0,0,20190916,20290916
25816355,1,1,1,1,1,0,0,20190916,20290916
25816369,0,0,0,0,0,1,0,20190916,20290916
25816373,0,0,0,0,0,1,0,20190916,20290916
25816371,0,0,0,0,0,1,0,20190916,20290916
25816375,0,0,0,0,0,1,0,20190916,20290916
25816377,0,0,0,0,0,0,1,20190916,20290916
25816381,0,0,0,0,0,0,1,20190916,20290916
25816379,0,0,0,0,0,0,1,20190916,20290916
25816383,0,0,0,0,0,0,1,20190916,20290916
25816318,1,1,1,1,1,0,0,20190916,20290916
25816319,1,1,1,1,1,0,0,20190916,20290916
25816320,1,1,1,1,1,0,0,20190916,20290916
25816322,1,1,1,1,1,0,0,20190916,20290916
25816324,1,1,1,1,1,0,0,20190916,20290916
25816326,1,1,1,1,1,0,0,20190916,20290916
25816328,1,1,1,1,1,0,0,20190916,20290916
25816330,1,1,1,1,1,0,0,20190916,20290916
25816332,1,1,1,1,1,0,0,20190916,20290916
25816334,0,0,0,0,0,1,0,20190916,20290916
25816336,0,0,0,0,0,1,0,20190916,20290916
25816338,0,0,0,0,0,1,0,20190916,20290916
25816340,0,0,0,0,0,1,0,20190916,20290916
25816342,0,0,0,0,0,1,0,20190916,20290916
25816344,0,0,0,0,0,0,1,20190916,20290916
25816346,0,0,0,0,0,0,1,20190916,20290916
