trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
25816292,06:30:00,06:30:00,M19,0,,,,
25816292,06:31:08,06:31:36,M10,1,,,,
25816292,06:32:42,06:33:04,M18,2,,,,
25816292,06:33:58,06:34:26,M17,3,,,,
25816292,06:35:32,06:35:58,M16,4,,,,
25816292,06:37:07,06:37:34,M15,5,,,,
25816292,06:39:31,06:39:56,M14,6,,,,
25816292,06:41:56,06:42:37,M13,7,,,,
25816292,06:44:04,06:44:27,M38,8,,,,
25816292,06:45:35,06:45:57,M39,9,,,,
25816292,06:47:08,06:47:30,M40,10,,,,
25816292,06:49:58,06:50:23,M41,11,,,,
25816292,06:51:54,06:52:34,M42,12,,,,
25816294,07:15:00,07:15:00,M19,0,,,,
25816294,07:16:08,07:16:36,M10,1,,,,
25816294,07:17:42,07:18:04,M18,2,,,,
25816294,07:18:58,07:19:26,M17,3,,,,
25816294,07:20:32,07:20:58,M16,4,,,,
25816294,07:22:07,07:22:34,M15,5,,,,
25816294,07:24:31,07:24:56,M14,6,,,,
25816294,07:26:56,07:27:37,M13,7,,,,
25816294,07:29:04,07:29:27,M38,8,,,,
25816294,07:30:35,07:30:57,M39,9,,,,
25816294,07:32:08,07:32:30,M40,10,,,,
25816294,07:34:58,07:35:23,M41,11,,,,
25816294,07:36:54,07:37:34,M42,12,,,,
25816296,09:30:00,09:30:00,M19,0,,,,
25816296,09:31:08,09:31:36,M10,1,,,,
25816296,09:32:42,09:33:04,M18,2,,,,
25816296,09:33:58,09:34:26,M17,3,,,,
25816296,09:35:32,09:35:58,M16,4,,,,
25816296,09:37:07,09:37:34,M15,5,,,,
25816296,09:39:31,09:39:56,M14,6,,,,
25816296,09:41:56,09:42:37,M13,7,,,,
25816296,09:44:04,09:44:27,M38,8,,,,
25816296,09:45:35,09:45:57,M39,9,,,,
25816296,09:47:08,09:47:30,M40,10,,,,
25816296,09:49:58,09:50:23,M41,11,,,,
25816296,09:51:54,09:52:34,M42,12,,,,
25816298,10:05:50,10:05:50,M19,0,,,,
25816298,10:06:58,10:07:26,M10,1,,,,
