service_id,date,exception_type
25816314,20191201,1
25816314,20191208,1
25816314,20200216,1
25816314,20201101,1
25816314,20201005,1
25816314,20201201,1
25816314,20201208,1
25816314,20191225,1
25816314,20200101,1
25816314,20200603,1
25816314,20200610,1
25816314,20200402,1
25816314,20191101,1
25816314,20200501,1
25816314,20201225,1
25816314,20191005,1
25816314,20200404,1
25816316,20191201,1
25816316,20191208,1
25816316,20200216,1
25816316,20201101,1
25816316,20201005,1
25816316,20201201,1
25816316,20201208,1
25816316,20191225,1
25816316,20200101,1
25816316,20200603,1
25816316,20200610,1
25816316,20200402,1
25816316,20191101,1
25816316,20200501,1
25816316,20201225,1
25816316,20191005,1
25816316,20200404,1
25816315,20191201,1
25816315,20191208,1
25816315,20200216,1
25816315,20201101,1
25816315,20201005,1
25816315,20201201,1
25816315,20201208,1
25816315,20191225,1
25816315,20200101,1
25816315,20200603,1
25816315,20200610,1
25816315,20200402,1
25816315,20191101,1
25816315,20200501,1
25816315,20201225,1
25816315,20191005,1
25816315,20200404,1
25816317,20191201,1
25816317,20191208,1
25816317,20200216,1
25816317,20201101,1
25816317,20201005,1
25816317,20201201,1
25816317,20201208,1
25816317,20191225,1
25816317,20200101,1
25816317,20200603,1
25816317,20200610,1
25816317,20200402,1
25816317,20191101,1
25816317,20200501,1
25816317,20201225,1
25816317,20191005,1
25816317,20200404,1
25816284,20191201,1
25816284,20191208,1
25816284,20200216,1
25816284,20201101,1
25816284,20201005,1
25816284,20201201,1
25816284,20201208,1
25816284,20191225,1
25816284,20200101,1
25816284,20200603,1
25816284,20200610,1
25816284,20200402,1
25816284,20191101,1
25816284,20200501,1
25816284,20201225,1
25816284,20191005,1
25816284,20200404,1
25816286,20191201,1
25816286,20191208,1
25816286,20200216,1
25816286,20201101,1
25816286,20201005,1
25816286,20201201,1
25816286,20201208,1
25816286,20191225,1
25816286,20200101,1
25816286,20200603,1
25816286,20200610,1
25816286,20200402,1
25816286,20191101,1
25816286,20200501,1
25816286,20201225,1
25816286,20191005,1
25816286,20200404,1
25816288,20191201,1
25816288,20191208,1
25816288,20200216,1
25816288,20201101,1
25816288,20201005,1
25816288,20201201,1
25816288,20201208,1
25816288,20191225,1
25816288,20200101,1
25816288,20200603,1
25816288,20200610,1
25816288,20200402,1
25816288,20191101,1
25816288,20200501,1
25816288,20201225,1
25816288,20191005,1
25816288,20200404,1
25816290,20191201,1
25816290,20191208,1
25816290,20200216,1
25816290,20201101,1
25816290,20201005,1
25816290,20201201,1
25816290,20201208,1
25816290,20191225,1
25816290,20200101,1
25816290,20200603,1
25816290,20200610,1
25816290,20200402,1
25816290,20191101,1
25816290,20200501,1
25816290,20201225,1
25816290,20191005,1
25816290,20200404,1
25816291,20191201,1
25816291,20191208,1
25816291,20200216,1
25816291,20201101,1
25816291,20201005,1
25816291,20201201,1
25816291,20201208,1
25816291,20191225,1
25816291,20200101,1
25816291,20200603,1
25816291,20200610,1
25816291,20200402,1
25816291,20191101,1
25816291,20200501,1
25816291,20201225,1
25816291,20191005,1
25816291,20200404,1
25816289,20191201,1
25816289,20191208,1
25816289,20200216,1
25816289,20201101,1
25816289,20201005,1
25816289,20201201,1
25816289,20201208,1
25816289,20191225,1
25816289,20200101,1
25816289,20200603,1
25816289,20200610,1
25816289,20200402,1
25816289,20191101,1
25816289,20200501,1
25816289,20201225,1
25816289,20191005,1
25816289,20200404,1
25816287,20191201,1
25816287,20191208,1
25816287,20200216,1
25816287,20201101,1
25816287,20201005,1
25816287,20201201,1
25816287,20201208,1
25816287,20191225,1
25816287,20200101,1
25816287,20200603,1
25816287,20200610,1
25816287,20200402,1
25816287,20191101,1
25816287,20200501,1
25816287,20201225,1
25816287,20191005,1
25816287,20200404,1
25816285,20191201,1
25816285,20191208,1
25816285,20200216,1
25816285,20201101,1
25816285,20201005,1
25816285,20201201,1
25816285,20201208,1
25816285,20191225,1
25816285,20200101,1
25816285,20200603,1
25816285,20200610,1
25816285,20200402,1
25816285,20191101,1
25816285,20200501,1
25816285,20201225,1
25816285,20191005,1
25816285,20200404,1
25816376,20191201,1
25816376,20191208,1
25816376,20200216,1
25816376,20201101,1
25816376,20201005,1
25816376,20201201,1
25816376,20201208,1
25816376,20191225,1
25816376,20200101,1
25816376,20200603,1
25816376,20200610,1
25816376,20200402,1
25816376,20191101,1
25816376,20200501,1
25816376,20201225,1
25816376,20191005,1
25816376,20200404,1
25816378,20191201,1
25816378,20191208,1
25816378,20200216,1
25816378,20201101,1
25816378,20201005,1
25816378,20201201,1
25816378,20201208,1
25816378,20191225,1
25816378,20200101,1
25816378,20200603,1
25816378,20200610,1
25816378,20200402,1
25816378,20191101,1
25816378,20200501,1
25816378,20201225,1
25816378,20191005,1
25816378,20200404,1
25816380,20191201,1
25816380,20191208,1
25816380,20200216,1
25816380,20201101,1
25816380,20201005,1
25816380,20201201,1
25816380,20201208,1
25816380,20191225,1
25816380,20200101,1
25816380,20200603,1
25816380,20200610,1
25816380,20200402,1
25816380,20191101,1
25816380,20200501,1
25816380,20201225,1
25816380,20191005,1
25816380,20200404,1
25816382,20191201,1
25816382,20191208,1
25816382,20200216,1
25816382,20201101,1
25816382,20201005,1
25816382,20201201,1
25816382,20201208,1
25816382,20191225,1
25816382,20200101,1
25816382,20200603,1
25816382,20200610,1
25816382,20200402,1
25816382,20191101,1
25816382,20200501,1
25816382,20201225,1
25816382,20191005,1
25816382,20200404,1
25816377,20191201,1
25816377,20191208,1
25816377,20200216,1
25816377,20201101,1
25816377,20201005,1
25816377,20201201,1
25816377,20201208,1
25816377,20191225,1
25816377,20200101,1
25816377,20200603,1
25816377,20200610,1
25816377,20200402,1
25816377,20191101,1
25816377,20200501,1
25816377,20201225,1
25816377,20191005,1
25816377,20200404,1
25816381,20191201,1
25816381,20191208,1
25816381,20200216,1
25816381,20201101,1
25816381,20201005,1
25816381,20201201,1
25816381,20201208,1
25816381,20191225,1
25816381,20200101,1
25816381,20200603,1
25816381,20200610,1
25816381,20200402,1
25816381,20191101,1
25816381,20200501,1
25816381,20201225,1
25816381,20191005,1
25816381,20200404,1
25816379,20191201,1
25816379,20191208,1
25816379,20200216,1
25816379,20201101,1
25816379,20201005,1
25816379,20201201,1
25816379,20201208,1
25816379,20191225,1
25816379,20200101,1
25816379,20200603,1
25816379,20200610,1
25816379,20200402,1
25816379,20191101,1
25816379,20200501,1
25816379,20201225,1
25816379,20191005,1
25816379,20200404,1
25816383,20191201,1
25816383,20191208,1
25816383,20200216,1
25816383,20201101,1
25816383,20201005,1
25816383,20201201,1
25816383,20201208,1
25816383,20191225,1
25816383,20200101,1
25816383,20200603,1
25816383,20200610,1
25816383,20200402,1
25816383,20191101,1
25816383,20200501,1
25816383,20201225,1
25816383,20191005,1
25816383,20200404,1
25816344,20191201,1
25816344,20191208,1
25816344,20200216,1
25816344,20201101,1
25816344,20201005,1
25816344,20201201,1
25816344,20201208,1
25816344,20191225,1
25816344,20200101,1
25816344,20200603,1
25816344,20200610,1
25816344,20200402,1
25816344,20191101,1
25816344,20200501,1
25816344,20201225,1
25816344,20191005,1
25816344,20200404,1
25816346,20191201,1
25816346,20191208,1
25816346,20200216,1
25816346,20201101,1
25816346,20201005,1
25816346,20201201,1
25816346,20201208,1
25816346,20191225,1
25816346,20200101,1
25816346,20200603,1
25816346,20200610,1
25816346,20200402,1
25816346,20191101,1
25816346,20200501,1
25816346,20201225,1
25816346,20191005,1
25816346,20200404,1
25816348,20191201,1
25816348,20191208,1
25816348,20200216,1
25816348,20201101,1
25816348,20201005,1
25816348,20201201,1
25816348,20201208,1
25816348,20191225,1
25816348,20200101,1
25816348,20200603,1
25816348,20200610,1
25816348,20200402,1
25816348,20191101,1
25816348,20200501,1
25816348,20201225,1
25816348,20191005,1
25816348,20200404,1
25816350,20191201,1
25816350,20191208,1
25816350,20200216,1
25816350,20201101,1
25816350,20201005,1
25816350,20201201,1
25816350,20201208,1
25816350,20191225,1
25816350,20200101,1
25816350,20200603,1
25816350,20200610,1
25816350,20200402,1
25816350,20191101,1
25816350,20200501,1
25816350,20201225,1
25816350,20191005,1
25816350,20200404,1
25816352,20191201,1
25816352,20191208,1
25816352,20200216,1
25816352,20201101,1
25816352,20201005,1
25816352,20201201,1
25816352,20201208,1
25816352,20191225,1
25816352,20200101,1
25816352,20200603,1
25816352,20200610,1
25816352,20200402,1
25816352,20191101,1
25816352,20200501,1
25816352,20201225,1
25816352,20191005,1
25816352,20200404,1
25816345,20191201,1
25816345,20191208,1
25816345,20200216,1
25816345,20201101,1
25816345,20201005,1
25816345,20201201,1
25816345,20201208,1
25816345,20191225,1
25816345,20200101,1
25816345,20200603,1
25816345,20200610,1
25816345,20200402,1
25816345,20191101,1
25816345,20200501,1
25816345,20201225,1
25816345,20191005,1
25816345,20200404,1
25816349,20191201,1
25816349,20191208,1
25816349,20200216,1
25816349,20201101,1
25816349,20201005,1
25816349,20201201,1
25816349,20201208,1
25816349,20191225,1
25816349,20200101,1
25816349,20200603,1
25816349,20200610,1
25816349,20200402,1
25816349,20191101,1
25816349,20200501,1
25816349,20201225,1
25816349,20191005,1
25816349,20200404,1
25816347,20191201,1
25816347,20191208,1
25816347,20200216,1
25816347,20201101,1
25816347,20201005,1
25816347,20201201,1
25816347,20201208,1
25816347,20191225,1
25816347,20200101,1
25816347,20200603,1
25816347,20200610,1
25816347,20200402,1
25816347,20191101,1
25816347,20200501,1
25816347,20201225,1
25816347,20191005,1
25816347,20200404,1
25816353,20191201,1
25816353,20191208,1
25816353,20200216,1
25816353,20201101,1
25816353,20201005,1
25816353,20201201,1
25816353,20201208,1
25816353,20191225,1
25816353,20200101,1
25816353,20200603,1
25816353,20200610,1
25816353,20200402,1
25816353,20191101,1
25816353,20200501,1
25816353,20201225,1
25816353,20191005,1
25816353,20200404,1
25816351,20191201,1
25816351,20191208,1
25816351,20200216,1
25816351,20201101,1
25816351,20201005,1
25816351,20201201,1
25816351,20201208,1
25816351,20191225,1
25816351,20200101,1
25816351,20200603,1
25816351,20200610,1
25816351,20200402,1
25816351,20191101,1
25816351,20200501,1
25816351,20201225,1
25816351,20191005,1
25816351,20200404,1
