trip_id,start_time,end_time,headway_secs,exact_times
25816292,06:30:00,07:15:00,450,0
25816294,07:15:00,09:30:00,215,0
25816296,09:30:00,10:00:00,265,0
25816298,10:05:50,16:40:00,700,0
25816300,16:40:00,19:00:00,225,0
25816302,19:00:00,19:30:00,290,0
25816304,19:30:00,20:00:00,355,0
25816306,20:00:00,21:00:00,535,0
25816308,21:00:00,25:05:00,525,0
25816310,06:30:00,12:00:00,520,0
25816312,12:00:00,25:05:00,525,0
25816314,06:30:00,12:00:00,520,0
25816316,12:00:00,25:05:00,525,0
25816309,21:00:00,01:05:00,525,0
25816307,20:00:00,21:00:00,535,0
25816305,19:30:00,20:00:00,355,0
25816303,19:00:00,19:30:00,290,0
25816301,16:40:00,19:00:00,225,0
25816299,10:00:00,16:40:00,700,0
25816297,09:30:00,10:00:00,265,0
25816295,07:15:00,09:30:00,215,0
25816293,06:30:00,07:15:00,450,0
25816311,06:30:00,12:00:00,520,0
25816313,12:00:00,01:05:00,525,0
25816315,06:30:00,12:00:00,520,0
25816317,12:00:00,01:05:00,525,0
25816252,06:30:00,07:00:00,420,0
25816254,07:00:00,07:30:00,350,0
25816256,07:30:00,09:30:00,240,0
25816258,09:30:00,10:00:00,275,0
25816260,10:00:00,16:30:00,400,0
25816262,16:30:00,19:30:00,260,0
25816264,19:30:00,20:00:00,325,0
25816266,20:00:00,20:30:00,400,0
25816268,20:30:00,21:00:00,440,0
25816270,21:00:00,21:30:00,495,0
25816272,21:30:00,22:30:00,485,0
25816274,22:30:00,25:05:00,645,0
25816276,06:30:00,12:00:00,495,0
25816278,12:00:00,20:30:00,440,0
25816280,20:30:00,22:30:00,485,0
25816282,22:30:00,25:05:00,640,0
25816284,06:30:00,12:00:00,495,0
25816286,12:00:00,20:30:00,440,0
25816288,20:30:00,22:30:00,485,0
25816290,22:30:00,25:05:00,640,0
25816275,22:30:00,01:05:00,645,0
25816273,21:30:00,22:30:00,485,0
25816271,21:00:00,21:30:00,495,0
25816269,20:30:00,21:00:00,440,0
25816267,20:00:00,20:30:00,400,0
25816265,19:30:00,20:00:00,325,0
25816263,16:30:00,19:30:00,260,0
25816261,10:00:00,16:30:00,400,0
25816259,09:30:00,10:00:00,275,0
25816257,07:30:00,09:30:00,240,0
25816255,07:00:00,07:30:00,350,0
25816253,06:30:00,07:00:00,420,0
25816283,22:30:00,01:05:00,640,0
25816281,20:30:00,22:30:00,485,0
25816279,12:00:00,20:30:00,440,0
25816277,06:30:00,12:00:00,495,0
25816291,22:30:00,01:05:00,640,0
25816289,20:30:00,22:30:00,485,0
25816287,12:00:00,20:30:00,440,0
25816285,06:30:00,12:00:00,495,0
25816354,06:30:00,07:15:00,585,0
25816356,07:15:00,09:45:00,360,0
25816358,09:45:00,16:30:00,420,0
25816360,16:30:00,19:30:00,360,0
25816362,19:30:00,20:30:00,425,0
25816364,20:30:00,22:30:00,475,0
25816366,22:30:00,25:05:00,565,0
25816368,06:30:00,12:00:00,490,0
25816370,12:00:00,20:30:00,420,0
25816372,20:30:00,22:15:00,480,0
25816374,22:15:00,25:05:00,570,0
25816376,06:30:00,12:00:00,490,0
25816378,12:00:00,20:30:00,420,0
25816380,20:30:00,22:15:00,480,0
25816382,22:15:00,25:05:00,570,0
25816367,22:30:00,01:05:00,565,0
25816365,20:30:00,22:30:00,475,0
25816363,19:30:00,20:30:00,425,0
25816361,16:30:00,19:30:00,360,0
25816359,09:45:00,16:30:00,420,0
25816357,07:15:00,09:45:00,360,0
25816355,06:30:00,07:15:00,585,0
25816369,06:30:00,12:00:00,490,0
25816373,20:30:00,22:15:00,480,0
25816371,12:00:00,20:30:00,420,0
25816375,22:15:00,01:05:00,570,0
25816377,06:30:00,12:00:00,490,0
25816381,20:30:00,22:15:00,480,0
25816379,12:00:00,20:30:00,420,0
25816383,22:15:00,01:05:00,570,0
25816318,10:00:00,16:30:00,700,0
25816319,10:15:44,16:30:00,700,0
25816320,06:30:00,07:15:00,410,0
25816322,07:15:00,10:00:00,335,0
25816324,10:00:00,16:15:00,365,0
25816326,16:15:00,20:30:00,335,0
25816328,20:30:00,21:00:00,360,0
25816330,21:00:00,22:15:00,475,0
25816332,22:15:00,25:15:00,710,0
25816334,06:30:00,12:00:00,485,0
25816336,12:00:00,20:30:00,490,0
25816338,20:30:00,21:30:00,485,0
25816340,21:30:00,22:30:00,570,0
25816342,22:30:00,25:05:00,710,0
25816344,06:30:00,12:00:00,485,0
25816346,12:00:00,20:30:00,490,0
25816348,20:30:00,21:30:00,485,0
25816350,21:30:00,22:30:00,570,0
25816352,22:30:00,25:05:00,710,0
25816333,22:15:00,01:15:00,710,0
25816331,21:00:00,22:15:00,475,0
25816329,20:30:00,21:00:00,360,0
25816327,16:15:00,20:30:00,335,0
25816325,10:00:00,16:15:00,365,0
25816323,07:15:00,10:00:00,335,0
25816321,06:30:00,07:15:00,410,0
25816343,22:30:00,01:05:00,710,0
25816341,21:30:00,22:30:00,570,0
25816339,20:30:00,21:30:00,485,0
25816337,12:00:00,20:30:00,490,0
25816335,06:30:00,12:00:00,485,0
25816345,06:30:00,12:00:00,485,0
25816349,20:30:00,21:30:00,485,0
25816347,12:00:00,20:30:00,490,0
25816353,22:30:00,01:05:00,710,0
25816351,21:30:00,22:30:00,570,0
